,problem,problem_ancient,problem_modern
767,今有方田一叚内有小方池结角占之外计地四十五亩只云从外田南边斜通池北角一百二步问内外方各多少,今有方田一叚，内有小方池，结角占之外，计地四十五亩。只云从外田南边斜通池北角一百二步。问内外方各多少？,这句话的现代汉语翻译是：现在有一块方形的田地，里面有一个小方形的池塘，池塘的四个角落都占据了田地的一部分。据说这块田地的面积是45亩，但只知道从田地的南边斜着通向池塘北角的距离是120步，请问田地和池塘各自的面积是多少？
768,今有方田一叚内有方池结角占之外计地三十九亩零一十五步只云从田东南角至内池西北面八十二步半问内外方面各多少,今有方田一叚，内有方池，结角占之。外计地三十九亩零一十五步，只云从田东南角至内池西北面八十二步半。问：内外方面各多少？,这句话的现代汉语翻译是：现在有一块方形的田地，里面有一个方形的池塘，角落处有一块未种植的地。这块田地的面积是39亩15步，从田地东南角到池塘西北面有82步半的距离。请问田地和池塘的面积各是多少？
769,今有方田一叚内有直池结角占之外计地八百五十步只云从田角通水长三十七步通水阔三十二步问三事各数,今有方田一叚，内有直池，结角占之。外计地八百五十步，只云从田角通水，长三十七步，通水阔三十二步。问三事，各数之。,"这句话的现代汉语翻译是：现在有一块方形的田地，里面有一个直角的池塘，占据了田地的一角。从田地的角落通到池塘的水面需要走三十七步，水面的宽度是三十二步。请回答以下三个问题：

1. 这块田地的面积是多少？
2. 池塘的面积是多少？
3. 池塘占据了这块田地的多少比例？"
770,今有方田一叚内有直池结角占之外计地一千一百五十步只云从田角至水两头各一十四步至水两边各一十九步问三事各多少,今有方田一叚，内有直池，结角占之。外计地一千一百五十步，只云从田角至水两头各一十四步，至水两边各一十九步。问三事，各多少？,这句话的现代汉语翻译是：现在有一块方形的田地，里面有一个长方形的池塘，四个角落都有一块土地，从田地的一个角到水的一端有14步，从另一个角到水的另一端也有14步，从水的一端到水的另一端有1150步，问三个距离各是多少。
771,今有圆田一叚内有圆池水占之外计地二十三亩一分只云内外周径共相和得四百二十四步问内外周径各多少【图依密率】,今有圆田一叚，内有圆池，水占之外，计地二十三亩一分。只云内外周径共相和得四百二十四步。问内外周径各多少？【图依密率】,"这句话的现代汉语翻译是：现在有一块圆形的田地，里面有一个圆形的池塘，占据了一部分面积。计算出这块田地的总面积是23亩1分，已知内外周长之和为424步，求内外周长各是多少。

（注：这里的“叚”是古代计量单位，相当于现在的亩）"
772,今有圆田一叚内有圆池水占之外计地二十三亩一分只云从外田通内池径六十三步问同前,今有圆田一叚，内有圆池，水占之外，计地二十三亩一分。只云从外田通内池径六十三步，问同前。,这句话的现代汉语翻译是：现在有一块圆形的田地，里面有一个圆形的池塘。计算出这块田地的面积是23亩1分。只知道从外面的田地到内部的池塘有一条直径为63步的路。问这个田地和之前的田地有什么不同。
773,今有圆田一叚内有直池水占之外计地八千七百四十四步只云两头至田楞各二十一步两畔至田楞各四十五步问三事各数,今有圆田一叚，内有直池，水占之外。计地八千七百四十四步，只云两头至田楞各二十一步，两畔至田楞各四十五步。问三事，各数。,"这句话的现代汉语翻译是：现在有一块圆形的田地，里面有一条直的池塘。从外面计算，这块田地的面积是八千七百四十四步，只知道两个相对的角落到田地的边缘各有二十一步，而且两个相邻的角落到田地的边缘各有四十五步。请回答以下三个问题：

1. 这块田地的直径是多少步？
2. 这条池塘的长度是多少步？
3. 这块田地的面积是多少平方步？"
774,今有圆田一叚内有直池占之外计地一千五百八十七步只云从田楞通地长四十二步通地阔三十七步问三事各数,今有圆田一叚，内有直池占之外。计地一千五百八十七步，只云从田楞通地长四十二步，通地阔三十七步。问三事，各数。,"这句话的现代汉语翻译是：现在有一块圆形的田地，里面有一个长方形的池塘，占据了田地的一部分。这块田地的周长是1587步，从田地的一个角落到池塘的对角线的长度是42步，池塘的宽度是37步。请回答以下三个问题： 

1. 这块田地的面积是多少？ 
2. 池塘占据了田地的多少面积？ 
3. 田地和池塘的总面积是多少？"
775,今有二方夹一圆失却圆水占外有田积一十一亩五分五厘其方圆相去重重径等问方圆各多少,今有二方夹一圆，失却圆。水占外，有田积一十一亩五分五厘。其方圆相去重重，径等。问方圆各多少？,这句话的现代汉语翻译是：现在有两个正方形夹着一个圆，圆失踪了，水占据了圆的位置，外面有一块田地，面积是11.55亩，正方形和圆的直径相等，请问正方形和圆的面积各是多少？
776,今有二圆夹一方失却中方水占外有田积一十四亩一分七厘半其方圆相去重重径等问方圆各几何,今有二圆夹一方，失却中方。水占外有田，积一十四亩一分七厘半。其方圆相去重重，径等。问方圆各几何？,这句话的现代汉语翻译是：现在有两个圆夹着一个方形，中间的方形失去了水，外面有一块土地，面积是14亩1分7厘半。问这三个图形的直径相等，求它们的面积分别是多少。
777,今有方田一叚靠西北隅有圆池水占之外计地九百二十五步只云从外田东南隅至池楞二十五步问面径各多少,今有方田一叚，靠西北隅有圆池，水占之外。计地九百二十五步，只云从外田东南隅至池楞二十五步。问面径各多少？,这句话的现代汉语翻译是：现在有一块方形的田地，靠着西北角有一个圆形的池塘。计算从田地外部东南角到池塘边缘的距离是925步。请问池塘的直径是多少？
778,今有方田二叚靠西北隅有方池结角占外计地四亩一十五步只云从田东南隅斜至水方面一十九步问内外面各多少,今有方田二叚，靠西北隅有方池，结角占外，计地四亩一十五步。只云从田东南隅斜至水方面一十九步。问内外面各多少？,这句话的现代汉语翻译是：现在有一块方形的田地，靠着西北角有一个方形的池塘，占用了外部计算的地面面积为4亩15步，只知道从田地的东南角斜着到水面的方向有19步，请问内部和外部的面积各是多少？
779,今有大圆田一叚大小方田二叚其小方田内有圆池水占之外共计积六万一千三百步只云小方田面至池楞三十步大方田面多于小方田面五十步其圆田径又多于大方田面五十步问四事各多少,"今有大圆田一叚，大小方田二叚，其小方田内有圆池，水占之外，共计积六万一千三百步。只云小方田面至池楞三十步，大方田面多于小方田面五十步。其圆田径又多于大方田面五十步。问四事，各多少？

（注：叚为古代计量单位，约等于现代的亩）",这段古文的现代汉语翻译为：现在有一个大圆形的田地，面积为一叚，还有两个小方形的田地，面积加起来为二叚。其中一个小方形的田地里有一个圆形的池塘，占据了田地外面的一部分。这三个田地的总面积是六万一千三百步。只知道小方田地到池塘边缘的距离是三十步，大方田地的面积比小方田地多五十步，圆形田地的直径比大方田地的面积多五十步。问四个问题，分别是这些田地的面积是多少？
780,今有方田一叚中心有环池水占之外计地四十七亩二百一十七步只云共环水内周不及外周七十二步又从田四角至水各五十步半问内外周及田方方各多少,今有方田一叚，中心有环池，水占之外，计地四十七亩二百一十七步。只云共环水内周不及外周七十二步，又从田四角至水各五十步半。问：内外周及田方方各多少？,这段古文的现代汉语翻译为：现在有一块方形的田地，其中心有一个环形的池塘。据测量，这块田地的面积为47亩217步，只知道环形池塘的内周长不及外周长72步。另外，从田地的四个角落到池塘的距离都是50步半。请问，环形池塘的内外周长以及田地的边长各是多少？
781,问易曰大衍之数五十其用四十有九又曰分而为二以象两卦一以象三揲之以四以象四时三变而成爻十有八变而成卦欲知所衍之术及其数各几何按揲蓍之法载于易传啓言之甚明算术以奇偶相生取名大衍可也竟欲以此易古法则过矣,问易曰：“大衍之数，五十其用，四十有九。又曰：分而为二，以象两卦；一以象三，揲之以四，以象四时三变而成爻，十有八变而成卦。欲知所衍之术及其数各几何，按揲蓍之法，载于《易传》启示言之甚明。算术以奇偶相生，取名大衍可也。竟欲以此易古法，则过矣。”,易经中说：“大衍之数五十，其用四十有九。”这句话的意思是，大衍数是50，但只有49个数有用。又说：“分而为二，以象两卦；一以象三。”这句话的意思是，将这49个数分成两组，象征着两个卦象；再将其中一个卦象分成三组，象征着三个爻。接着说：“揲之以四，以象四时；三变而成爻，十有八变而成卦。”这句话的意思是，将这三个爻组合起来，象征着四个季节；三个爻变化一次，就形成了一个爻；八个爻变化一次，就形成了一个卦。如果想要了解这些数的含义和算法，可以参考《易传》中载有的揲蓍之法，这个方法非常清晰明了。算术中的奇偶相生也被用来命名大衍数。但是，如果想要用这个方法来替代古代的算法，就有些过于简单化了。
782,问古历冬至以三百六十五日四分日之一朔防以二十九日九百四十分日之四百九十九甲子以六十日各为一周假令至淳祐丙午十一月丙辰朔初五日庚申冬至初九日甲子欲求古历气朔甲子一会积年积月积日及历过未至年数各几何　　按此题岁实朔防皆古法用数淳祐丙午岁合朔冬至干支乃宋开禧法所步题数已不相即推算无误亦未合况不能无误耶,问古历，冬至以三百六十五日四分日之一朔，防以二十九日九百四十分日之四百九十九甲子以六十日，各为一周。假令至淳祐丙午十一月丙辰朔初五日庚申冬至初九日甲子，欲求古历气朔甲子，一会积年积月积日及历过未至年数各几何。按此题，岁实朔防皆古法用数，淳祐丙午岁合朔，冬至干支乃宋开禧法所步，题数已不相符，即推算无误，亦未合，况不能无误耶？,古汉语翻译成现代汉语为：问古代历法中，冬至以365日加四分之一日为一朔，闰以29日加940分之1日为499甲子，以60日为一周。假设到淳祐丙午年十一月丙辰朔初五日庚申冬至初九日甲子，想要求出古代历法中的气朔甲子，需要累计年、月、日数以及历法的周期数。按照这个问题，岁实、朔防都是采用古代的计算方法，而淳祐丙午年的合朔和冬至则采用了宋代开禧法的计算方法，两者不相同。因此，需要进行推算，才能得出正确的结果。
783,问有外邑七库日纳息足钱适等递年成贯整纳近縁见钱稀少听各库照当处市陌准解旧会其甲库有零钱一十文丁庚二库各零四文戊库零六文余库无零钱甲库所在市陌一十二文递减一文至庚库而止欲求诸库日息原纳足钱展省及今纳旧会并大小月分各几何　　按题意系七邑日纳共钱同数以各邑市陌数计之或适足或有余多寡不同甲陌十二则余十乙陌十一丙陌十则无余丁陌九则余四戊陌八则余六己陌七则无余庚陌六则余四以求共钱同数此本术也又问展省旧会按草中展省乃官省陌以七十七为一百所展日息共钱之数旧会乃以各陌数为一百所升日息共钱之数二者在本术中已赘且不明言展省旧会用数求法皆故为溟涬也,"问：有外邑七库，日纳息足钱，适等递年成贯整纳，近縁见钱稀少，听各库照当处市陌准解旧会。其甲库有零钱一十文，丁庚二库各零四文，戊库零六文，余库无零钱。甲库所在市陌一十二文，递减一文至庚库而止。欲求诸库日息原纳足钱，展省及今纳旧会并大小月分各几何？

按题意，系七邑日纳共钱同数，以各邑市陌数计之，或适足或有余，多寡不同。甲陌十二则余十，乙陌十一，丙陌十则无余，丁陌九则余四，戊陌八则余六，己陌七则无余，庚陌六则余四。以求共钱同数，此本术也。

又问展省旧会，按草中展省乃官省陌，以七十七为一百，所展日息共钱之数。旧会乃以各陌数为一百，所升日息共钱之数。二者在本术中已赘，且不明言。展省旧会用数求法皆故，为溟涬也。","古汉语：问有外邑七库日纳息足钱适等递年成贯整纳近縁见钱稀少听各库照当处市陌准解旧会其甲库有零钱一十文丁庚二库各零四文戊库零六文余库无零钱甲库所在市陌一十二文递减一文至庚库而止欲求诸库日息原纳足钱展省及今纳旧会并大小月分各几何　　按题意系七邑日纳共钱同数以各邑市陌数计之或适足或有余多寡不同甲陌十二则余十乙陌十一丙陌十则无余丁陌九则余四戊陌八则余六己陌七则无余庚陌六则余四以求共钱同数此本术也又问展省旧会按草中展省乃官省陌以七十七为一百所展日息共钱之数旧会乃以各陌数为一百所升日息共钱之数二者在本术中已赘且不明言展省旧会用数求法皆故为溟涬也

现代汉语：问有七个外邑，每日纳息足钱，逐年成贯整，纳近縁见钱稀少。听各库照当处市陌准解旧会。其中甲库有零钱十文，丁庚二库各零四文，戊库零六文，余库无零钱。甲库所在市陌十二文，递减一文至庚库而止。欲求诸库日息原纳足钱，展省及今纳旧会并大小月分各几何。

按题意，是七个邑每日纳共钱同数，以各邑市陌数计之，或适足或有余，多寡不同。甲邑陌十二则余十，乙邑陌十一，丙邑陌十则无余，丁邑陌九则余四，戊邑陌八则余六，己邑陌七则无余，庚邑陌六则余四。以求共钱同数，此为本术。

又问展省旧会，按草中展省乃官省陌以七十七为一百，所展日息共钱之数。旧会乃以各陌数为一百，所升日息共钱之数。二者在本术中已赘，且不明言。展省旧会用数求法皆故为溟涬也。"
784,问有上农三人力田所收之米系用足斗均分各徃他处岀粜甲粜本郡官塲余三斗二升乙粜与吉安乡民余七斗丙粜与平江戸余三斗欲知共米及三人所分各粜石几何,问：有上农三人，力田所收之米，系用足斗均分，各往他处出粜。甲粜本郡官场余三斗二升，乙粜与吉安乡民余七斗，丙粜与平江府户余三斗。欲知共米及三人所分各粜石几何？,这句话的现代汉语翻译是：问有三个农民，他们的田地所收获的米，用足斗均分后各自带到其他地方去卖，其中甲粜本郡官场余三斗二升，乙粜与吉安乡民余七斗，丙粜与平江户余三斗。想知道总共有多少米，以及每个人分到多少石。
785,问欲砌基一叚见管大小方砖六门城砖四色令匠取便或平或侧只用一色砖砌湏要适足匠以砖量地计料称用大方料广多六寸深少六寸【按即多七寸】用小方广多二寸深少三寸【按即多八寸】用城砖长广多三寸深少一寸【按即多一尺一寸】以阔深少一寸【按即多五寸】广多三寸以厚广多五分深多一寸用六门砖长广三寸深多一寸以阔广多三寸深多一寸用厚广多一寸深多一寸皆不匼匝未免修破砖料禆补其四色砖大方方一尺三寸小方方一尺一寸城砖长一尺二寸阔六寸厚二寸五分六门长一尺阔五寸厚二寸欲知基深广几何　　按题意谓以一尺三寸量基之广未余六寸以一尺一寸量之余二寸以一尺二寸量之余三寸以六寸量之亦余三寸以二寸五分量之余五分以一尺量之余三寸以五寸量之亦余三寸以二寸量之余一寸以求广也其求深之意亦同,问欲砌基一叚，见管大小方砖，六门城砖四色。令匠取便，或平或侧，只用一色砖砌。湏要适足，匠以砖量地计料，称用大方料广多六寸，深少六寸【按即多七寸】。用小方广多二寸，深少三寸【按即多八寸】。用城砖长广多三寸，深少一寸【按即多一尺一寸】，以阔深少一寸【按即多五寸】。广多三寸，以厚广多五分，深多一寸。用六门砖，长广三寸，深多一寸，以阔广多三寸，深多一寸，用厚广多一寸，深多一寸。皆不匼匝，未免修破。砖料禆补，其四色砖大方方一尺三寸，小方方一尺一寸，城砖长一尺二寸，阔六寸，厚二寸五分，六门长一尺，阔五寸，厚二寸。欲知基深广几何？按题意谓以一尺三寸量基之广未余六寸，以一尺一寸量之余二寸，以一尺二寸量之余三寸，以六寸量之亦余三寸，以二寸五分量之余五分，以一尺量之余三寸，以五寸量之亦余三寸，以二寸量之余一寸，以求广也。其求深之意亦同。,这段古文的意思是：问想要砌一座基础，看到管大小的方砖，有六门城砖，四种颜色。让工匠取便，或平或侧，只用一种颜色的砖砌。要求砌出来的基础要适合，工匠要根据地面的大小计算需要用多少砖。用大方的砖，广多六寸，深少六寸（按即多七寸）。用小方的砖，广多二寸，深少三寸（按即多八寸）。用城砖，长广多三寸，深少一寸（按即多一尺一寸），以阔深少一寸（按即多五寸）。广多三寸，以厚广多五分，深多一寸。用六门砖，长广三寸，深多一寸，以阔广多三寸，深多一寸，用厚广多一寸，深多一寸。所有的砖都不要有缝隙，也不要有凸凹不平的地方。如果有需要修补，可以用四种颜色的大方砖，长一尺三寸，小方砖，长一尺一寸，城砖，长一尺二寸，阔六寸，厚二寸五分，六门长一尺，阔五寸，厚二寸。想知道基础的深度和广度怎么计算，按照题意，用一尺三寸的长度量基础的广度，余六寸；用一尺一寸的长度量之，余二寸；用一尺二寸的长度量之，余三寸；用六寸的长度量之，也余三寸；用二寸五分的长度量之，余五分；用一尺的长度量之，余三寸；用五寸的长度量之，也余三寸；用二寸的长度量之，余一寸。求出基础的深度也是同样的方法。
786,问筑堤起四县夫分给里歩皆同齐阔二丈里法三百六十歩歩法五尺八寸人夫以物力差定甲县物力一十三万八千六百贯乙县物力一十四万六千三百贯丙县物力一十九万二千五百贯丁县物力一十八万四千八百贯每力七百七十贯科一名春程人功平方六十尺先到县先给今甲乙二县俱毕丙县余五十一丈丁县余一十八丈不及一日全功欲知堤长及四县夫所筑各几何　　按题意以四县修堤总长相同毎日所修之长不同以各每日所修之长计总长或适足或有余以求总长也但不正言其数而设堤阔数各县物力数一夫力数一夫平方数以取每日所修堤长数故令人不能骤觧,"问筑堤起四县，夫分给里，歩皆同齐，阔二丈，里法三百六十歩，歩法五尺八寸。人夫以物力差定甲县，物力一十三万八千六百贯；乙县，物力一十四万六千三百贯；丙县，物力一十九万二千五百贯；丁县，物力一十八万四千八百贯。每力七百七十贯，科一名春程人功平方六十尺。先到县先给，今甲乙二县俱毕，丙县余五十一丈，丁县余一十八丈，不及一日全功。欲知堤长及四县夫所筑各几何？

按题意，以四县修堤总长相同，每日所修之长不同。以各每日所修之长计总长，或适足或有余，以求总长。但不正言其数，而设堤阔数，各县物力数，一夫力数，一夫平方数，以取每日所修堤长数。故令人不能骤觧。",这段古汉语的意思是：问筑堤起四县，夫分给里步皆同齐阔二丈，里法三百六十步，步法五尺八寸。人夫以物力差定甲县物力一十三万八千六百贯，乙县物力一十四万六千三百贯，丙县物力一十九万二千五百贯，丁县物力一十八万四千八百贯。每力七百七十贯，科一名春程人功平方六十尺。先到县先给，今甲乙二县俱毕，丙县余五十一丈，丁县余一十八丈，不及一日全功。欲知堤长及四县夫所筑各几何。按题意，以四县修堤总长相同，每日所修之长不同，以各每日所修之长计总长，或适足或有余以求总长。但不正言其数而设堤阔数，各县物力数，一夫力数，一夫平方数，以取每日所修堤长数，故令人不能骤解。
787,问有米铺诉被盗去米一般三箩皆适满不记细数今左壁箩剰一合中间箩剰一升四合右壁箩剰一合后获贼系甲乙丙三名甲称当夜摸得马杓在左壁箩舀入布袋乙称踢着木履在中箩舀入袋丙称摸得漆椀在左边箩舀入袋将归食用日乆不知数索到三器马杓满容一升九合木履容一升七合漆椀容一升二合欲知所失米数计赃结几三盗各几何,问：有米铺诉被盗，去米一般，三箩皆适满，不记细数。今左壁箩剩一合，中间箩剩一升四合，右壁箩剩一合。后获贼系甲、乙、丙三名。甲称当夜摸得马杓在左壁箩，舀入布袋；乙称踢着木履在中箩，舀入袋；丙称摸得漆椀在左边箩，舀入袋。将归食用，日久不知数，索到三器：马杓满容一升九合，木履容一升七合，漆椀容一升二合。欲知所失米数，计赃结几，三盗各几何？,"古汉语：問有米鋪訴被盜去米一般三箩皆適滿不記細數今左壁箩剰一合中間箩剰一升四合右壁箩剰一合後獲賊系甲乙丙三名甲稱當夜摸得馬杓在左壁箩舀入布袋乙稱踢著木履在中箩舀入袋丙稱摸得漆椀在左邊箩舀入袋將歸食用日乆不知數索到三器馬杓滿容一升九合木履容一升七合漆椀容一升二合欲知所失米數計贓結幾三盜各幾何

现代汉语：有人在米铺报告被盗了一般的三箩米，都装得满满的，具体数量不记得了。现在左边的箩子剩下一合，中间的箩子剩下一升四合，右边的箩子剩下一合。后来抓到了三个贼，分别叫甲、乙、丙。甲说当晚摸到了马杓，从左边的箩子舀了米装进布袋里；乙说当晚踢着木履，从中间的箩子舀了米装进袋子里；丙说当晚摸到了漆椀，从左边的箩子舀了米装进袋子里。将这些米归来准备食用，但是不知道具体数量，于是找到了三个器具：马杓容量一升九合，木履容量一升七合，漆椀容量一升二合。想知道失去的米的数量，计算一下就可以了。"
788,问军师获几当早几差急足三名徃都下节节走报具甲于前数日申末到乙后数日未正到丙于今日辰未到据供甲日行三百里乙日行二百四十里丙日行一百八十里问自军前至都里数及三人各行日数几何,问军师，获几当早？几差急足？三名徃都下，节节走报具。甲于前数日申末到，乙后数日未正到，丙于今日辰未到。据供，甲日行三百里，乙日行二百四十里，丙日行一百八十里。问自军前至都里数及三人各行日数几何？,这句话的现代汉语翻译是：问军师，从早到晚有多少时间差，急足三名往都下节节走，报告前几天甲到，后几天乙到，今天丙还没到。据甲供述，他行了三百里，乙行了二百四十里，丙行了一百八十里。请问从军队出发到都里的距离，以及三个人分别行了多少天？
789,问有急足三名甲日行三百里乙日行二百五十里丙日行二百里先差丙徃他处下文字旣两日又有文字遣乙追付已半日复有文字续令甲赶付乙三人偶不相及乃同时俱至彼所先欲知乙果及丙甲果及乙得日并里次问彼处去此里数各几何　　按题意谓三行迟疾不同乙后丙两日甲后乙半日问几日几里可以追及又旣及之后三人不能同行及各至彼处之时刻皆与各起程之时刻相同盖言自此至彼所行皆为整日数也,"问：有急足三名，甲日行三百里，乙日行二百五十里，丙日行二百里。先差丙往他处，下文字。既两日，又有文字遣乙追，付已半日，复有文字续，令甲赶付。乙三人偶不相及，乃同时俱至彼所。先欲知乙果及丙，甲果及乙得日并里次。问彼处去此里数各几何？

按题意，谓三行迟疾不同，乙后丙两日，甲后乙半日。问几日几里可以追及？又既及之后，三人不能同行，及各至彼处之时刻，皆与各起程之时刻相同。盖言自此至彼所行皆为整日数也。

（注：此文为《孙子算经》中的一道题目，原文无标点符号。）

答：有急足三名，甲日行三百里，乙日行二百五十里，丙日行二百里。先差丙往他处，下文字。既两日，又有文字遣乙追，付已半日，复有文字续，令甲赶付。乙三人偶不相及，乃同时俱至彼所。先欲知乙果及丙，甲果及乙得日并里次。问彼处去此里数各几何？

按题意，谓三行迟疾不同，乙后丙两日，甲后乙半日。问几日几里可以追及？又既及之后，三人不能同行，及各至彼处之时刻，皆与各起程之时刻相同。盖言自此至彼所行皆为整日数也。","“问有急足三名，甲日行三百里，乙日行二百五十里，丙日行二百里。先差丙往他处下文字，既两日又有文字遣乙追付已半日，复有文字续，令甲赶付乙。三人偶不相及，乃同时俱至彼所。先欲知乙果及丙，甲果及乙得日并里次。问彼处去此里数各几何？”

这道题目的意思是：有三个人，他们的速度不同，分别是甲、乙、丙。甲每天可以行走300里，乙每天可以行走250里，丙每天可以行走200里。现在，先让丙去另一个地方下文字，两天后，又有文字让乙去追丙，已经过了半天，然后又有文字让甲去追乙。但是，三个人并没有在同一时间相遇，而是同时到达了目的地。现在，问乙和丙相遇的时间和地点，以及甲和乙相遇的时间和地点。最后，问目的地离出发地分别有多远。

这道题目需要用到数学知识和推理能力，需要认真分析每个人的行程和时间，才能得出正确的答案。"
790,问太史测验天道庆元四年戊午岁冬至三十九日九十二刻四十五分绍定三年庚寅岁冬至三十二日九十四刻一十二分欲求中间嘉泰甲子岁气骨岁余斗分各得几何　　按绍定三年庚寅之冬至实绍定四年辛夘之始辛夘距戊午三十四年积年为三十三,"问：太史，测验天道庆元四年戊午岁冬至三十九日九十二刻四十五分，绍定三年庚寅岁冬至三十二日九十四刻一十二分，欲求中间嘉泰甲子岁气骨岁余斗分各得几何？

按照古代的时间计算方法，需要用到天文学知识。这段话的意思是，想要求出嘉泰甲子年的岁气和骨岁，以及余下的斗分，需要知道庆元四年戊午岁冬至和绍定三年庚寅岁冬至之间的时间差，即距离。其中，绍定三年庚寅之冬至实际上是绍定四年辛夘之始，辛夘距离戊午三十四年，积年为三十三。因此，需要计算出这段时间的天数，再根据天数计算出岁气、骨岁和斗分。",“问太史测验天道庆元四年戊午岁冬至三十九日九十二刻四十五分绍定三年庚寅岁冬至三十二日九十四刻一十二分欲求中间嘉泰甲子岁气骨岁余斗分各得几何。”的意思是：“请问太史，测验天道庆元四年戊午岁冬至三十九日九十二刻四十五分和绍定三年庚寅岁冬至三十二日九十四刻一十二分之间，中间的嘉泰甲子岁气骨岁余斗分各是多少？按照绍定三年庚寅的冬至，实际上是绍定四年辛夘的开始，辛夘距离戊午已经过去了三十四年，所以积年为三十三。”
791,问开禧历以嘉泰四年甲子岁天正冬至为一十一日【日辰乙亥】四十四刻六十一分五十四杪十一月经朔一日【日辰乙丑】七十五刻五十五分六十二杪问闰骨闰率各几何,问：开禧历以嘉泰四年甲子岁，天正冬至为一十一日【日辰乙亥】，四十四刻六十一分五十四杪。十一月经朔一日【日辰乙丑】，七十五刻五十五分六十二杪。问：闰骨、闰率各几何？,这段古文的意思是：询问开禧历中，嘉泰四年甲子岁天正冬至是在十一月十一日（日辰为乙亥）的第44刻61分54秒55毫秒，一月初一（日辰为乙丑）的第75刻55分62秒55毫秒。同时询问闰月的位置和闰年的频率各是多少。
792,问开禧历积年七百八十四万八千一百八十三欲知推演之原调日法求朔余朔率斗分岁率岁闰入元岁入闰朔定骨闰泛骨闰缩纪率气元率元闰元数及气等率因率蔀率朔等数因数蔀数朔积年二十三事各几何,问：开禧历积年七百八十四万八千一百八十三，欲知推演之原，调日法求朔，余朔率斗分，岁率岁闰入，元岁入闰，朔定骨闰泛，骨闰缩纪，率气元，率元闰元，数及气等率，因率蔀率朔等数，因数蔀数朔，积年二十三事各几何？,这句话的现代汉语翻译是：“如果你想知道如何推算开禧历的原始调日法和求朔余朔率、斗分岁率、岁闰入元、岁入闰朔、定骨闰、泛骨闰、缩纪率、气元率、元闰元数以及气等率等因数，那么需要了解二十三个事项的具体内容。”
793,问岁星合伏经一十六日九十分行三度九十分去曰一十三度乃见后顺行一百一十三日一十十七度八十三分乃留欲知合伏段晨疾初段常度初行率末行率平行率各几何　　按此以两积曰之递差积度求各行率也盖合伏初日其行最疾以次渐迟迟极则留总其积度略如递减差分故古法皆以其术歩之,问岁星合伏，经一十六日九十分行三度九十分，去曰一十三度，乃见后。顺行一百一十三日，一十十七度八十三分，乃留。欲知合伏段晨疾，初段常度，初行率，末行率，平行率各几何？按此以两积曰之，递差积度求各行率也。盖合伏初日，其行最疾，以次渐迟，迟极则留。总其积度，略如递减差分。故古法皆以其术歩之。,"""问岁星合伏经一十六日九十分行三度九十分去曰一十三度乃见后顺行一百一十三日一十十七度八十三分乃留欲知合伏段晨疾初段常度初行率末行率平行率各几何。按此以两积曰之递差积度求各行率也。盖合伏初日其行最疾，以次渐迟，迟极则留，总其积度略如递减差分。故古法皆以其术步之。""

意思是：询问岁星合伏的经过，从第16日90分开始行走3度90分，到第113日10分时行走了117度83分，然后停留。想知道合伏段晨时的速度、初段常度、初行率、末行率和平行率各是多少。按照这个问题，可以用两个积的递差积度来求出各行率。因为合伏初日行走最快，以后逐渐减慢，最后停留，总的积度略微递减，所以古代的方法都是用步数来计算的。"
794,问历代测景惟唐大衍历最密本朝崇天历阳城冬至景一丈二尺七寸一分五十杪夏至景一尺四寸七分七十杪九系与大衍历同今开禧历临安府冬至景一丈八寸二分二十五杪夏至景九寸一分欲求临安府夏至后差几日而景与阳城夏至日等较以大衍历晷景所差尺寸各几何,问：历代测景，惟唐大衍历最密。本朝崇天历，阳城冬至景一丈二尺七寸一分五十杪，夏至景一尺四寸七分七十杪，九系与大衍历同。今开禧历，临安府冬至景一丈八寸二分二十五杪，夏至景九寸一分。欲求临安府夏至后差几日，而景与阳城夏至日等。较以大衍历晷景所差尺寸各几何？,"这段古文的现代汉语翻译如下：

问历代测定太阳视位置的历法中，唐代的大衍历最为精密。本朝使用的崇天历，冬至时阳城的太阳视位置高度为一丈二尺七寸一分五十杪，夏至时高度为一尺四寸七分七十杪。这个历法与大衍历相同，现在使用的开禧历在临安府，冬至时太阳视位置高度为一丈八寸二分二十五杪，夏至时高度为九寸一分。想要求出临安府夏至后与阳城夏至日相比，太阳视位置相差几天，以及与大衍历相比，太阳视位置相差多少尺寸。"
795,问今州郡多有天池盆以测雨水但知以盆中之水为得雨之数不知器形不同则受雨多少亦异未可以所测便为平地得雨之数假今盆口径二尺八寸底径一尺二寸深一尺八寸接雨水深九寸欲求平地雨防防何,问：今州郡多有天池盆，以测雨水。但知以盆中之水为得雨之数，不知器形不同，则受雨多少亦异。未可以所测，便为平地得雨之数。假今盆口径二尺八寸，底径一尺二寸，深一尺八寸，接雨水深九寸。欲求平地雨防防何？,这句话的现代汉语翻译是：“问今天气多少，州郡中有多少天池盆用来测量雨水。只知道用盆中的水来计算雨量，不知道不同形状的器具受到的雨水量也不同，所以不能准确测量。假设现在盆的口径是2尺8寸，底径是1尺2寸，深度是1尺8寸，接收雨水的深度是9寸，想要知道平地上的雨量应该如何计算？”
